Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2634.806	-2841.985	207.1785	1.388327	2.430322	0.09263129	3.754225
6	-2646.117	-2854.051	207.9338	1.396618	3.277198	0.08482261	3.106876
12	-2635.089	-2842.659	207.5696	1.474257	2.667867	0.06682641	3.479674
18	-2631.16	-2837.868	206.7075	1.336574	3.122361	0.05514077	3.975481
24	-2636.982	-2842.139	205.1566	1.236959	5.618314	0.05791113	4.45151
30	-2636.984	-2843.642	206.6582	1.378232	1.654659	0.04195996	4.45151
36	-2626.572	-2832.786	206.2131	1.253825	4.00785	0.0666441	4.085048
42	-2635.133	-2843.309	208.1761	1.306755	2.111698	0.1147234	3.264789
48	-2642.617	-2850.336	207.7187	1.362944	3.176227	0.1147234	3.203185
54	-2645.319	-2853.574	208.2549	1.457277	3.029624	0.07101132	2.977359
60	-2655.188	-2863.743	208.5553	1.588616	3.947822	0.04520029	2.580201
66	-2652.09	-2859.496	207.4053	1.401822	4.789924	0.05765511	3.191529
72	-2649.774	-2856.193	206.4188	1.43653	3.169787	0.07369421	4.020571
78	-2653.806	-2860.139	206.333	1.360183	5.472085	0.04983548	3.755724
84	-2651.489	-2859.103	207.614	1.364709	4.320144	0.07025991	3.137637
90	-2648.207	-2856.4	208.1931	1.447794	2.167955	0.07291649	3.26056
96	-2653.182	-2861.976	208.7945	1.703445	3.00797	0.03666802	2.607331
102	-2652.559	-2860.845	208.2862	1.695742	3.528932	0.03401111	2.804501
108	-2647.447	-2853.626	206.1782	1.490624	5.325163	0.0272267	3.852795
114	-2648.764	-2856.294	207.5303	1.408579	5.325163	0.03565142	3.089491
120	-2639.718	-2847.299	207.5811	1.408579	3.662285	0.07019497	3.262998
126	-2640.045	-2846.6	206.5543	1.352783	3.055414	0.06208857	4.049915
132	-2637.135	-2844.431	207.2956	1.245341	3.895493	0.07333683	3.469446
138	-2635.586	-2841.749	206.1626	1.084114	3.807092	0.07333683	4.231157
144	-2647.904	-2852.818	204.9134	0.8155067	5.128488	0.07869524	4.840435
150	-2645.914	-2852.392	206.4776	0.9230622	1.866126	0.09645405	4.586115
156	-2644.417	-2850.821	206.4038	0.9894547	1.706524	0.07262994	4.707974
162	-2637.368	-2844.645	207.277	1.088507	2.2966	0.09563755	3.901996
168	-2641.729	-2849.044	207.3151	1.23633	2.147716	0.1105096	3.805562
174	-2629.988	-2836.134	206.1455	1.225319	3.051282	0.06306092	4.352555
180	-2633.842	-2840.499	206.657	1.075273	2.17301	0.0783132	4.34431
186	-2634.504	-2842.205	207.7006	1.303245	2.632752	0.05639259	3.542581
192	-2653.875	-2860.464	206.5889	1.112402	2.116948	0.1451836	4.225606
198	-2637.757	-2843.434	205.6775	1.18075	1.133962	0.0743099	5.246942
204	-2637.996	-2844.626	206.6296	1.244749	2.010611	0.06642923	4.347879
210	-2630.86	-2837.637	206.7769	1.103099	1.804969	0.09234498	4.347879
216	-2628.265	-2835.461	207.1963	1.131719	1.366655	0.06618877	4.337935
222	-2624.847	-2831.639	206.7916	0.9978832	1.366655	0.08955128	4.580099
228	-2629.613	-2836.04	206.4266	1.038046	1.747865	0.09707072	4.590888
234	-2631.95	-2838.313	206.3638	1.002667	1.22382	0.1037247	4.848329
240	-2636.996	-2844.558	207.5623	0.9848824	1.817682	0.06090013	4.047875
246	-2635.663	-2841.682	206.0184	1.057065	1.882799	0.05964481	4.857688
252	-2636.13	-2842.835	206.7052	1.162808	2.282039	0.09459965	4.192801
258	-2627.583	-2833.385	205.8018	1.162808	1.910424	0.06148516	4.904964
264	-2636.745	-2843.708	206.9638	1.136403	1.44401	0.07840357	4.400107
270	-2634.67	-2842.216	207.5455	1.121781	2.040161	0.1182895	3.755924
276	-2635.334	-2843.071	207.7367	1.600338	2.040161	0.07579036	3.473366
282	-2632.814	-2842.291	209.4775	1.514897	1.274092	0.07844787	2.794226
288	-2633.475	-2840.515	207.0397	1.166776	1.501387	0.08668199	4.294556
294	-2645.84	-2851.076	205.2355	1.231357	1.98023	0.08668199	5.092285
300	-2634.732	-2840.136	205.4038	1.044681	2.668951	0.07147802	4.941277
306	-2634.986	-2842.744	207.758	1.182583	1.780729	0.09929825	3.734255
312	-2640.898	-2847.86	206.9624	1.425774	3.12924	0.06286427	3.754275
318	-2650.431	-2857.297	206.8658	1.49194	3.585936	0.08360421	3.612495
324	-2650.959	-2857.727	206.7678	1.256897	3.122457	0.08117781	3.91481
330	-2644.197	-2850.837	206.6399	1.256897	1.860256	0.09730273	4.30662
336	-2634.284	-2842.509	208.2246	1.41923	3.210706	0.07295808	2.96806
342	-2639.859	-2848.004	208.1447	1.294657	3.210706	0.1204045	2.96806
348	-2642.384	-2849.311	206.9274	1.375709	1.670312	0.07357007	4.206658
354	-2634.709	-2842.245	207.5358	1.338875	3.210498	0.06381068	3.449888
360	-2625.299	-2833.002	207.703	1.353263	2.44133	0.1017512	3.44405
366	-2627.193	-2834.324	207.1318	1.296385	2.512339	0.08782184	3.822869
372	-2634.31	-2840.736	206.4269	1.159034	5.352768	0.06142435	3.802295
378	-2623.31	-2830.907	207.5972	1.403473	5.107989	0.06800841	2.992178
384	-2620.343	-2827.559	207.2168	1.404936	5.107989	0.0655801	3.224963
390	-2630.858	-2839.079	208.2204	1.250299	3.025695	0.1093421	3.021485
396	-2634.54	-2842.017	207.477	1.380049	2.737635	0.09736991	3.488505
402	-2638.077	-2845.441	207.3638	1.321207	2.689264	0.1011917	3.592147
408	-2639.928	-2848.072	208.1439	1.445935	2.318761	0.1086482	3.149543
414	-2642.954	-2849.501	206.5475	1.41863	3.164651	0.07005174	3.968362
420	-2644.086	-2851.921	207.8354	1.247653	2.278612	0.09491103	3.494373
426	-2642.17	-2849.493	207.3229	1.218329	3.743754	0.07546262	3.494373
432	-2647.354	-2855.044	207.6896	1.447859	1.628691	0.09423636	3.691489
438	-2642.149	-2846.764	204.6154	1.237277	2.547481	0.06763254	5.313636
444	-2630.603	-2837.614	207.0108	0.9518202	2.159191	0.06335598	4.2587
450	-2628.423	-2835.297	206.8734	1.310351	1.786989	0.06335598	4.2587
456	-2636.778	-2845.354	208.5753	1.335795	1.910344	0.08379422	3.158887
462	-2640.181	-2847.036	206.8548	1.155379	2.225465	0.1299852	4.047684
468	-2636.171	-2842.321	206.15	1.287913	1.969931	0.1329584	4.447591
474	-2638.024	-2843.508	205.4843	0.9423433	1.782228	0.06757392	5.231366
480	-2648.604	-2854.471	205.8675	1.337999	3.195466	0.05722433	4.428657
486	-2638.08	-2843.939	205.8587	1.073869	1.853994	0.06268053	4.938859
492	-2640.752	-2848.689	207.9371	1.183991	1.853994	0.1320743	3.526936
498	-2647.167	-2854.981	207.8141	1.254885	2.75049	0.0912054	3.376664
504	-2642.525	-2849.812	207.2872	1.34021	2.607017	0.09153375	3.672054
